question_id,prompt,A,B,C,D,E,answer,difficulty
1,Sumer and Egypt were similar in all of the following ways EXCEPT,agricultural dependence on the silt left behind by flooding,belief in a polytheistic religion centered on deities of nature,enjoyment of protection from invasion by natural barriers,development of distinct systems of written language,engagement in trade with other nearby cultures,C,0.17
2,A follower of the Chinese philosophy of Daoism would MOST agree with which statement?,Government intrusiveness should be kept to a minimum.,Government works best when run by well-educated men.,Government should be focused on strengthening the state.,Governments that allow too much freedom are doomed to fail.,Governments have an obligation to suppress independent thought.,A,0.72
3,Which of these was NOT a characteristic of early humans in the Paleolithic Age?,Ability to make and use simple tools,Tendency to live in permanent settlements,Reliance on hunting and gathering techniques,Propensity for creating artistic cave drawings,Mastery of fire for cooking and heating purposes,B,0.73
4,Buddhism was founded in part as a response to questions about which faith?,Islam,Daoism,Judaism,Hinduism,Christianity,D,0.51
5,The Kush city of Meroe rose to prominence mainly because of its natural supply of,salt,iron,gold,grain,silver,B,0.58
6,"During the first Punic War, the Romans were MOST interested in acquiring Sicily because it",offered an array of natural resources,could serve as a strategic military base,would allow Rome to avenge civilian losses,would increase Rome's ability to trade with the East,could serve as a key location in a Carthaginian invasion of Italy,A,0.3
7,The Battle of Thermopylae was key to Athenian victory in the Persian War because it,prevented the Persians from reaching and sacking Athens itself,wiped out a large portion of the Persian army before it reached Athens,delayed the Persians' approach and gave the Athenians time to prepare,eliminated the Persian navy and forced them to rely on a land attack,weakened Persian morale and left the soldiers unwilling to fight,C,0.03
8,Who split the Roman Empire into two halves?,Augustus,Diocletian,Julius Caesar,Constantine,Marc Antony,B,0.89
9,Usage of the Silk Roads for trade declined near the end of the Han dynasty primarily due to,economic conditions that made long-distance trade too expensive,constant warfare that made roads unsafe for travel,a decrease in the demand for silk goods in the Mediterranean,a devastating shortage of Chinese silk,epidemic disease that traveled along the roads and decimated the population,E,0.87
10,"During the Dorian period, Greece experienced food shortages as the result of a",period of unusually warm and dry weather conditions,decrease in trade with other Mediterranean cultures,long-term agricultural blight that damaged crops,trend of immigration out of the Greek mainland,war with Persia that used significant resources,D,0.11
11,"When the Mongols took control of China and established the Yuan dynasty, they did all of the following EXCEPT",build their own communities separate from the Chinese,adopt the Chinese form of centralized government,attempt to invade Japan and Southeast Asia,establish a new version of the civil service exam,allow for greater religious freedom,D,0.01
12,"The invasion of the Byzantine territory by the Seljuk Turks led to a weakening of the Byzantine Empire, primarily due to",the political unrest and civil war that spread throughout the empire,a reduction in both food supply and the ability to collect taxes,a disruption of trade with other Mediterranean cultures,a widespread religious upheaval and Islamic conversion,the outbreak of epidemic disease that decimated the population,B,0.03
13,"In the ninth century, the Vikings invaded other European communities primarily to",decide territorial disputes,incite religious fervor,resolve food shortages,establish trade embargoes,cause economic distress,C,0.12
14,The reemergence of trade brought about by the Crusades was mainly facilitated through the shipping ports of which country?,France,Spain,Greece,Portugal,Italy,E,0.9
15,Which of the following statements about how the Maya and the Aztec were similar is INCORRECT?,They both had a three-tiered social class system.,They both practiced ritual human sacrifice.,They both occupied part of the Yucatán Peninsula.,They both were conquered by the Spaniards.,They both were made up of a collection of city-states.,D,0.54
16,Which factor was MOST responsible for the collapse of the Mughal Empire?,Enemy invasion,Religious unrest,Economic distress,Peasant revolts,Succession disputes,E,0.35
17,The Northern Renaissance MOST differed from the Italian Renaissance in that it,failed to significantly emphasize the visual arts,placed greater importance on religious devotion,largely rejected the concept of humanism,did not increase the prevalence of secularism,increased dissonance among Christians,B,0.62
18,Who developed and taught the doctrine of predestination?,John Knox,Martin Luther,Ulrich Zwingli,John Calvin,Thomas More,D,0.1
19,Portugal's MAIN motivation for seeking an alternate route to the East was to,establish a direct trading relationship with China,compete with Spain and its holdings in the New World,end the Italian and Muslim dominance of trade,lay claim to all trade rights in the Indian Ocean,begin colonizing key areas of Southwest Asia,C,0.87
20,The Seven Years' War was MOST beneficial for which nation?,Britain,France,Russia,Spain,Italy,A,0.6
21,Which of these was part of the French National Assembly's initial plan for government reform?,Constitutional republic,Dictatorship,Limited monarchy,Absolute monarchy,Democracy,C,0.18
22,"The Bill of Rights signed by William and Mary prevented the English monarch from doing all of the following, EXCEPT",interfering with freedom of speech in Parliament,levying taxes without legislative approval,suspending any law passed by Parliament,refusing to hear grievances made by citizens,imprisoning subjects without due cause,E,0.21
23,The Louisiana Purchase provided France with significant funding for,rehabilitating the economy after Louis XVI's extravagant spending,establishing a new republican government following the failure of the previous one,overthrowing the monarch and starting a new government under the Jacobins,financing Napoléon's campaign to conquer Europe and build a French Empire,rebuilding the nation after the defeat at the Battle of Waterloo,D,0.15
24,Simón Bolívar was MOST interested in leading revolutions against Spain in the Americas because he wanted to,rule the entire region as a dictator,establish a unified Latin American state,force the Spanish into North America,isolate the region from outside influences,transfer colonial control from Spain to France,B,0.52
25,"In taking the Tennis Court Oath, the National Assembly vowed to",establish a republican government,overthrow the oppressive monarchy,boycott all unfair taxes,write a new state constitution,install a military dictatorship,D,0.54
26,The beginning of the Industrial Revolution in England primarily resulted from,widespread overpopulation,increased trade,national prosperity,agricultural innovation,abundance of resources,D,0.35
27,The Berlin Conference of 1884-85 was a meeting of European imperialist powers designed to peacefully negotiate,terms of trade with China,control over the African continent,disputes over ports in Southeast Asia,rights to former Ottoman territories,international trading policies in Europe,B,0.45
28,The Boxer Rebellion of the late nineteenth and early twentieth centuries was a response to the,forced opening of Japanese ports,oppressive rule of the British in India,foreign intrusion into China,economic distress caused by the French in Vietnam,dominance of the Dutch in Indonesia,C,0.15
29,Economist Adam Smith's laissez-faire theory supported the notion that governments should,refrain from interfering with private business,exercise direct control over private business,regulate private business only in times of crisis,maintain a set of minimal business regulations,regulate only domestic businesses,A,0.28
30,Economic imperialism was different from other forms of colonial dominance in that the,colonial territory was entirely dependent on the imperial power,imperialist power directly controlled the government of the colonial territory,region under imperialist influence was controlled by private businesses,imperialist power held exclusive trading rights over a region,colonial territory was allowed to operate its own independent government,C,0.31
31,Why were Hitler's attacks on Great Britain during World War II ultimately unsuccessful?,The Luftwaffe was unable to inflict significant damage.,American forces came to Britain's aid.,The attacks were too costly for the Nazis to sustain.,German forces could not carry out a ground attack.,The British were able to track Nazi planes with radar.,E,0.96
32,"In 1917, the United States entered World War I after learning of a German plot to",seize control of U.S. territories in Southeast Asia,launch a surprise attack on U.S. naval forces,help Mexico retake land it had lost to the United States,attack several U.S. major coastal cities,destroy any U.S. ocean liners encountered,C,0.69
33,"During the civil war in Russia, most of the people supported Lenin's Red Army because they",feared the White Army would return the czar to power,were promised great economic prosperity by Lenin,wanted to isolate themselves from Western influences,were coerced by aggressive communist propaganda,believed the Red Army would attack them otherwise,A,0.26
34,What did the term Anschluss mean to Hitler and the Germans?,A surprise attack on enemy forces,The purification of the Aryan race,An invasion of France and Britain,The unification of Germany and Austria,A secret police force,D,0.69
35,The American military resorted to the use of atomic weapons because,American troops had no way to enter the Japanese mainland,a ground invasion would result in too many casualties,American forces would not be able to access necessary resources on the mainland,Japanese ground forces were supported by additional Korean forces,the American public wanted the war to end as quickly as possible,B,0.36
36,What is the primary reason the Soviet Union installed communist regimes in Eastern Europe after World War II?,To prevent the spread of democracy,To insulate itself from the West,To take control of trade in the region,To increase its supply of natural resources,To help spread communism through Europe,B,0.17
37,Why did the Korean War ultimately end in a stalemate?,Because UN forces were unable to penetrate North Korean territory,Because the South Korean government was not supported by the Korean people,Because Soviet forces threatened to enter the battle on North Korea's behalf,Because the Chinese entered the war and forced UN troops to retreat,Because the North Koreans did not have the resources to take South Korea entirely,D,0.36
38,"In response to Ho Chi Minh's victory over the French in 1954, the Geneva Conference",formally condemned Ho and called for his removal,recognized Vietnam as an entirely independent nation,split Vietnam into a communist north and democratic south,enacted international economic embargoes against Vietnam,petitioned the United Nations to send troops to restore French control,C,0.08
39,"The war that followed the formation of the Jewish state of Israel resulted in all of the following, EXCEPT",Israeli control of the West Bank,the establishment of Palestinian refugee camps,Israeli seizure of land intended for the Palestinians,Egyptian control over the Gaza Strip,Israeli victory over Arab forces,A,0.91
40,Mikhail Gorbachev's policy of perestroika was an attempt to stabilize the Soviet Union by,encouraging discussion about government,reducing political corruption,restructuring the economy,allowing more foreign trade,promoting the further spread of communism,C,0.13
41,Which of these has been the MOST important factor in the rise of globalized trade?,Increase in world population,Emergence of multinational corporations,Decline in regional national resources,Breakdown of protective tariffs,Enhancement of communications technologies,D,0.59
42,The Declaration of Human Rights issued by the United Nations in 1948 explicitly stated that all human beings have the right to,"freedom, equality, and justice","life, liberty, and security of person","liberty, self-governance, and protection of the law","freedom, security, and religious tolerance","life, liberty, and the pursuit of happiness",B,0.72
43,Which terrorist incident was the first to receive major mainstream media attention?,Oklahoma City bombing,Iran hostage crisis,Israeli athletes at Munich,First World Trade Center bombing,11-Sep-01,C,0.75
44,Which of these is the MOST significant cause of global warming?,Global overpopulation,Increased urbanization,Nuclear energy,Burning of fossil fuels,Widespread deforestation,D,0.08
45,In 1997 the United Nations attempted to address the issue of global warming by,producing a treaty meant to help control greenhouse gases,conducting its own independent study of the phenomenon,asking industrial leaders to reduce their carbon dioxide emissions,encouraging the development of alternative energy sources,launching a worldwide global-warming awareness campaign,A,0.58
46,The Mauryan emperor Ashoka's reign was characterized by,honest proclamations and positive behavior,incessant warfare and brutality toward citizens,oppressive and ascetic totalitarian government,construction of expansive monuments and buildings,drastic rejection of Buddhist principles,A.,0.37
47,Socialists such as Friedrich Engels argued that,society is necessary to protect individuals from the chaotic brutality inherent to human nature,governments can be truly just only when they directly represent the people under their rule,nations must compete for power and fortune just as animals compete for supremacy in nature,financial wealth and resources should be distributed evenly among the citizens of a nation,every citizen has a duty to devote his or her life to the betterment of the nation or culture,D.,0.14
49,Which of these describes Hammurabi's most significant contribution to civilization?,The defeat and destruction of Assyrian invasion armies around 675 BCE,A precedent of peaceful negotiations with the rulers of Southwest Asia,The ushering of Egypt into the period known as the Old Kingdom,The design and construction of the legendary Hanging Gardens of Babylon,A comprehensive system of laws by which a kingdom could be governed,E.,0.85
50,What was Sigmund Freud's intent with his breakthrough publication Die Traumdeutung?,Reconciling taboo desires,Interpreting the meaning of dreams,Exploring societal and gender roles,Debunking theories of hypnosis,Treating emotional hysteria,B.,0.69
51,The nomadic practices of the Mongols proved MOST beneficial to the conquering of other peoples in that these practices,"helped the Mongols to amass great stores of riches, food, and weapons",encouraged toughness and endurance among the Mongols,improved Mongol horsemanship and mobility and allowed them to strike quickly,enhanced the Mongols' ability to survive in different environments,served to increase the Mongol population and its armies,C.,0.34
52,The Green Revolution was important in modern times because it,raised global support for environmental preservation initiatives,encouraged the development and use of renewable energy sources,aggressively advocated for equal rights for women and children,brought greater political stability to the nations of Eastern Europe,increased crop yields to combat starvation in developing nations,E.,0.57
53,Which event marked the first year in the Muslim calendar?,Muhammad completed the Koran.,Muhammad was born.,Muhammad joined a caravan to Syria.,Muhammad died.,Muhammad journeyed from Mecca to Medina.,E.,0.6
55,The South African policy of apartheid was specifically designed to,prevent the spread of communism into the region,limit foreign influence on internal political matters,encourage trade with Europe and the Americas,ensure Afrikaners political dominance of the country,stabilize the nation in its early years of independence,D,0.91
56,Which modern fields have been most affected by the accomplishments of the ancient Greeks and Romans?,Ethics and religion,Medicine and hygiene,Politics and government,Finances and trade,Science and technology,C,0.36
57,"In European history, the term Lebensraum, or ""living space,"" most commonly refers to the",German desire for expansion in the twentieth century,forced relocation of ethnic minorities into ghetto towns,rejection of industrialization and urbanization,celebration of the bucolic ideal in art and literature,immigration to North America in the twentieth century,A,0.24
58,Conflicts between which two religions resulted in the Edict of Nantes (1598)?,Jainism and Islam,Calvinism and Lutheranism,Roman Catholicism and Protestantism,Hinduism and Buddhism,Sikhism and Orthodox Judaism,C,0.25
59,What was the primary motivation for most Irish citizens who immigrated to North America in the nineteenth century?,Find freedom of religion,Locate support for Irish independence,Escape national famine,Avoid conscription in the British army,Protest British imperialism,C,0.54
60,"In the Hindu caste system, members of the Shudra caste originally served as",servants and workers,kings and nobles,traders and merchants,soldiers and courtiers,priests and teachers,A,0.11
61,The Olmec civilization occupied the modern-day lands known as,Baja California Peninsula,Western Mexico's Pacific Coast,Guatemala and Northern Belize,Southern Mexico's Gulf Coast,Amazon basin and rainforest,D,0.04
62,"""Whatsoever therefore is consequent to a time of war, where every man is enemy to every man, the same consequent to the time wherein men live without other security than what their own strength and their own invention shall furnish them withal. In such condition there is?continual fear, and danger of violent death; and the life of man, solitary, poor, nasty, brutish, and short."" The above statement expresses the views of which historical figure?",Thomas Hobbes,John Calvin,Jean-Jacques Rousseau,Niccolò Machiavelli,Thomas Aquinas,A,0.58
63,Japan underwent change during the Meiji Restoration that most closely resembled change in,Persia under the rule of the Hephthalites,Russia during the reign of Czar Peter I,Judea under Roman occupation,Sri Lanka prior to British colonization,France during the Revolutionary era,B,0.58
64,"The Duma, active in Russia from 1906 to 1917, can BEST be described as a/an",revolutionary secret society,anticommunist political party,elected legislative body,secret government police force,union of industrial workers,C,0.02
65,The Byzantine Empire collapsed after more than one thousand years in existence primarily because of the,ascension of Frederick III to Holy Roman Emperor in 1452,Great Schism that began around 1378,Ottoman conquest of Constantinople in 1453,end of Russian tributes to the Golden Horde in 1462,French victories that ended the Hundred Years' War in 1453,C,0.35
66,Books such as George Orwell's Nineteen  Eighty-Four and Aldous Huxley's Brave New World are major twentieth-century examples of what literary form?,Tragicomedy,Satirical fiction,Epistolary fiction,Dystopian novel,Feminist novel,D,0.63
67,The practice of offshoring by industrialized countries in the twentieth century generally values all of the following EXCEPT,increased availability of raw materials,domestic economic development,reduction of overall business costs,overall lowering of labor costs,less stringent labor and environmental laws,B,0.7
68,The introduction of agriculture most significantly affected formerly nomadic societies by,creating a gender-based separation of responsibilities,increasing the density of the population,necessitating the frequent migration of humans,decreasing the chance of food surpluses,eradicating the traditional specialization of labor,B,0.43
69,Which country claimed the colony of Madagascar as a possession until an ongoing freedom movement led to its independence in 1960?,France,Germany,United States,Portugal,Britain,A,0.64
70,"When issued in 1215, the Magna Carta established the legal principle of",due process of law,burden of proof,statute of limitations,judicial deference,sovereign immunity,A,0.27
71,Which religion developed in India alongside Buddhism around the sixth century BCE in response to religious speculation over Hinduism?,Jainism,Rastafarianism,Shintoism,Sikhism,Zoroastrianism,A,0.25
72,"In the Paraguayan War beginning in 1864, Paraguay fought against the combined forces of",Spanish and British colonizers,"Uruguay, Argentina, and Brazil","Chile, Peru, and Bolivia",Peru and British colonizers,Bolivia and Spanish colonizers,B,0.31
73,In what year were Upper and Lower Canada united?,1755,1776,1813,1841,1913,D,0.83
74,The medieval African empire of Ghana thrived because of its intermediary position between the,intellectuals of Europe and Africa,traders of salt and traders of gold and ivory,Silk Roads and the spice routes,fishing towns and agricultural communities,Christian and Muslim settlements,B,0.74
75,The Chinese imperial palace used by rulers from the Ming through the Qing dynasties was known as the,Forbidden City,Wumen,Potala Palace,Xanadu,Outer City,A,0.75
